0.33725,0.70588,0.91373
0.34622,0.70458,0.89922
0.35518,0.70327,0.88472
0.36415,0.70196,0.87021
0.37311,0.70065,0.85571
0.38207,0.69935,0.84121
0.39104,0.69804,0.8267
0.4,0.69673,0.8122
0.40896,0.69542,0.7977
0.41793,0.69412,0.78319
0.42689,0.69281,0.76869
0.43585,0.6915,0.75419
0.44482,0.6902,0.73968
0.45378,0.68889,0.72518
0.46275,0.68758,0.71068
0.47171,0.68627,0.69617
0.48067,0.68497,0.68167
0.48964,0.68366,0.66716
0.4986,0.68235,0.65266
0.50756,0.68105,0.63816
0.51653,0.67974,0.62365
0.52549,0.67843,0.60915
0.53445,0.67712,0.59465
0.54342,0.67582,0.58014
0.55238,0.67451,0.56564
0.56134,0.6732,0.55114
0.57031,0.6719,0.53663
0.57927,0.67059,0.52213
0.58824,0.66928,0.50763
0.5972,0.66797,0.49312
0.60616,0.66667,0.47862
0.61513,0.66536,0.46411
0.62409,0.66405,0.44961
0.63305,0.66275,0.43511
0.64202,0.66144,0.4206
0.65098,0.66013,0.4061
0.65994,0.65882,0.3916
0.66891,0.65752,0.37709
0.67787,0.65621,0.36259
0.68683,0.6549,0.34809
0.6958,0.65359,0.33358
0.70476,0.65229,0.31908
0.71373,0.65098,0.30458
0.72269,0.64967,0.29007
0.73165,0.64837,0.27557
0.74062,0.64706,0.26106
0.74958,0.64575,0.24656
0.75854,0.64444,0.23206
0.76751,0.64314,0.21755
0.77647,0.64183,0.20305
0.78543,0.64052,0.18855
0.7944,0.63922,0.17404
0.80336,0.63791,0.15954
0.81232,0.6366,0.14504
0.82129,0.63529,0.13053
0.83025,0.63399,0.11603
0.83922,0.63268,0.10153
0.84818,0.63137,0.087021
0.85714,0.63007,0.072518
0.86611,0.62876,0.058014
0.87507,0.62745,0.043511
0.88403,0.62614,0.029007
0.893,0.62484,0.014504
0.90196,0.62353,0
